model,family,device,macro_f1,accuracy,f1_joy,f1_sadness,f1_anger,f1_fear,f1_love,f1_surprise,p50_ms,p95_ms,p99_ms,best_rows_per_s,usd_per_1000,disk_mb,peak_memory_mb
Majority class,baseline,cpu,0.086,0.3475,0.5158,0.0,0.0,0.0,0.0,0.0,0.1214,0.1549,0.1852,1039779.79,5.129e-08,0.001,374.2
Stratified random,baseline,cpu,0.1539,0.231,0.3358,0.2763,0.1426,0.1253,0.0435,0.0,0.2396,0.2528,0.3244,516944.05,1.032e-07,0.001,374.6
TF-IDF + logistic regression,classical,cpu,0.8486,0.8905,0.9158,0.9291,0.8901,0.8597,0.7911,0.7059,0.3133,0.3411,0.3488,98489.19,5.415e-07,0.807,419.7
TF-IDF + linear SVM,classical,cpu,0.8579,0.8995,0.9268,0.935,0.8964,0.8636,0.8113,0.7143,0.2201,0.2464,0.2602,104221.71,5.117e-07,0.411,419.7
TF-IDF + LightGBM,classical,cpu,0.84,0.881,0.9008,0.9258,0.8729,0.863,0.7416,0.7361,0.6651,0.8002,0.9289,20780.58,2.566e-06,2.69,446.7
Qwen2.5-1.5B zero-shot,prompted LLM,cuda:0,0.4107,0.4975,0.5674,0.6251,0.501,0.3219,0.2947,0.1538,43.8467,61.1868,70.1809,49.68,0.003355,2955.4,4539.7
Qwen2.5-1.5B few-shot (12),prompted LLM,cuda:0,0.3427,0.475,0.6376,0.4916,0.4381,0.0851,0.3458,0.058,91.0622,109.7129,112.2096,13.68,0.01218,2955.4,6799.7
DistilBERT fine-tuned (GPU),fine-tuned encoder,cuda:0,0.8978,0.931,0.9477,0.9702,0.9324,0.8884,0.8532,0.795,3.0061,3.5081,3.6288,2414.48,6.903e-05,256.3,1484.7
DistilBERT fine-tuned (CPU),fine-tuned encoder,cpu,0.8978,0.931,0.9477,0.9702,0.9324,0.8884,0.8532,0.795,14.0362,18.2574,20.1553,132.83,0.0004015,256.5,1497.8
